NEGERI,PPD,PUSAT,SEMESTER,BIDANG,PAKEJ MATA PELAJARAN
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 1,SAINS,"BI (MUET), PA, CHE, MT, PHY, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, BIO, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, BIO, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, BIO, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, BIO, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 3,SAINS,"BI (MUET), PA, CHE, MT, BIO, SEMESTER 3, SAINS, BI (MUET), PA, CHE, MT, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 3,SAINS,"BI (MUET), PA, CHE, MT, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, PP, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SV, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK DATO BENTARA LUAR,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, EKO, PP, SV, BM"
JOHOR,BATU PAHAT,SMK SENGGARANG,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, EKO, GEO"
